iter	Logloss
225	0.1721843532
226	0.1718821489
227	0.171811361
228	0.1716804534
229	0.1716263974
230	0.171497727
231	0.1713366712
232	0.1712975358
233	0.1711317104
234	0.1710714639
235	0.1710188945
236	0.1709178669
237	0.1708133704
238	0.1706555106
239	0.1706077897
240	0.1705532028
241	0.1704373621
242	0.1703653155
243	0.1702310434
244	0.1700688918
245	0.1699087461
246	0.1698748999
247	0.16975679
248	0.169591874
249	0.16941698
250	0.169285508
251	0.1692427506
252	0.1691265569
253	0.1691000774
254	0.1688808553
255	0.1686578746
256	0.1685347267
257	0.1685132112
258	0.168430798
259	0.1683196037
260	0.1682735568
261	0.1681945738
262	0.1681482676
263	0.1680231461
264	0.1678341298
265	0.1676674848
266	0.16761801
267	0.1675491231
268	0.1674818759
269	0.1673180213
270	0.1672514653
271	0.1670143464
272	0.1669464413
273	0.1668764588
274	0.1668288624
275	0.1666890253
276	0.1665815292
277	0.1665722646
278	0.1663976139
279	0.1663410464
280	0.1661591029
281	0.1660816017
282	0.1659422101
283	0.1657903365
284	0.1657551337
285	0.1656576113
286	0.1656019706
287	0.1654754261
288	0.1653828113
289	0.1653552039
290	0.1651788431
291	0.1651445292
292	0.1650453948
293	0.1650075915
294	0.1648867576
295	0.1647197992
296	0.1645847765
297	0.1644553088
298	0.1643631022
299	0.1642894232
300	0.1641423002
301	0.1640717368
302	0.1639472184
303	0.1639199067
304	0.1638910635
305	0.1638281105
306	0.1636885814
307	0.1636205645
308	0.1635218779
309	0.1634168925
310	0.1632812252
311	0.1632247425
312	0.1631553961
313	0.163046995
314	0.162931425
315	0.1628311762
316	0.1628167701
317	0.1627450311
318	0.1626621224
319	0.1625211531
320	0.1624105177
321	0.1623950671
322	0.1623925544
323	0.1622769854
324	0.1621954789
325	0.1621546071
326	0.1620658662
327	0.1620175381
328	0.1619146639
329	0.161896848
330	0.1618773268
331	0.1617226616
332	0.161593762
333	0.1614925456
334	0.1614584721
335	0.1612700992
336	0.1612619455
337	0.1611731386
338	0.1610578263
339	0.1609423616
340	0.1608940673
341	0.1608245843
342	0.1607959735
343	0.1606964504
344	0.160535521
345	0.1605187684
346	0.1603608553
347	0.1602715244
348	0.1601121518
349	0.1601091079
350	0.1600318574
351	0.1600023485
352	0.1599639079
353	0.159860108
354	0.1597993132
355	0.1597298488
356	0.1596941494
357	0.1596337886
358	0.1594845728
359	0.1593549433
360	0.1592944432
361	0.159232627
362	0.1591695162
363	0.1590850598
364	0.158972137
365	0.1589157901
366	0.1588554367
367	0.1587875486
368	0.1587035861
369	0.1585772493
370	0.1584951928
371	0.158445138
372	0.1582896178
373	0.1582235567
374	0.1581315425
375	0.158032237
376	0.1579421292
377	0.157855069
378	0.1577370095
379	0.1575920263
380	0.1574897402
381	0.1573968488
382	0.1572674068
383	0.1571990127
384	0.1571467618
385	0.1571177508
386	0.1570733751
387	0.1570298442
388	0.1569584866
389	0.1568459936
390	0.1566855766
391	0.1565531998
392	0.1565218834
393	0.156426796
394	0.1562563554
395	0.1561547242
396	0.1561196542
397	0.1560247974
398	0.1560137032
399	0.155938563
400	0.1558953884
401	0.1558718292
402	0.1557971555
403	0.1557355103
404	0.1555417491
405	0.1555085128
406	0.1554220915
407	0.1553669956
408	0.155222353
409	0.1552201731
410	0.1551122626
411	0.1550110522
412	0.1549605015
413	0.15483085
414	0.1547062728
415	0.1546399647
416	0.1545272026
417	0.1544877704
418	0.1544348815
419	0.1543821241
420	0.1543451321
421	0.1543041458
422	0.1542595179
423	0.1542127242
424	0.1541875558
425	0.1541738914
426	0.1540717971
427	0.1540025477
428	0.1539417295
429	0.1539055768
430	0.1537648418
431	0.1536900261
432	0.1536283347
433	0.153592758
434	0.1535471448
435	0.1535173737
436	0.1534671141
437	0.1534017953
438	0.1532756787
439	0.1532268109
440	0.1531417411
441	0.1531166538
442	0.1530093509
443	0.152855694
444	0.1527974853
445	0.1527357325
446	0.1526166362
447	0.1525781647
448	0.1524909346
449	0.1524567303
450	0.1524191647
451	0.1523478967
452	0.1522168113
453	0.1522009034
454	0.1520600642
455	0.1520249159
456	0.1519822646
457	0.1519020324
458	0.1517787249
459	0.1517188423
460	0.1516565954
461	0.1516142978
462	0.1515031803
463	0.1513969684
464	0.1513711287
465	0.1513192622
466	0.1512995238
467	0.1512408991
468	0.151189159
469	0.1511395582
470	0.1510542316
471	0.1510518663
472	0.1509930149
473	0.1509712962
474	0.1508700152
475	0.1508297344
476	0.1508154952
477	0.150772405
478	0.1507006194
479	0.1506347098
480	0.1505212775
481	0.1504503761
482	0.1503977237
483	0.1503654269
484	0.1503365957
485	0.1502308215
486	0.1501592248
487	0.1500608214
488	0.1500319751
489	0.1499444582
490	0.1498349135
491	0.1497956046
492	0.1497766667
493	0.1497117836
494	0.149612337
495	0.1496006486
496	0.1494800647
497	0.1494189764
498	0.1494027767
499	0.1493722354
